ZONE,Type,VillaNo,,WorkType1,Percentage1,Status1,Contractor1,,WorkType2,Percentage2,Status2,Contractor2,,WorkType3,Percentage3,Status3,Contractor3,,WorkType4,Percentage4,Status4,Contractor4,,WorkType5,Percentage5,Status5,Contractor5,,WorkType6,Percentage6,Status6,Contractor6,,WorkType7,Percentage7,Status7,Contractor7,,WorkType8,Percentage8,Status8,Contractor8
Z8,V7,55,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة بداية,,لياسة  دورارضي,95%,Retained,مؤسسة بداية,,طرطشة  دوراول,,,,,لياسة  دوراول,90%,Retained,مؤسسه الحزم,,طرطشة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,لياسة  دورالملحق,60%,Open,مؤسسه الاستيراد,,طرطشة خارجية للواجهات,,,,,لياسة خارجية للواجهات,,,
Z8,V7,56,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة بداية,,لياسة  دورارضي,95%,Retained,مؤسسة بداية,,طرطشة  دوراول,100%,Closed,مؤسسه الحزم,,لياسة  دوراول,90%,Retained,مؤسسه الحزم,,طرطشة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,لياسة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد,,لياسة خارجية للواجهات,,,
Z8,V7,57,,طرطشة  دور أ رضي ,,,,,لياسة  دورارضي,,,,,طرطشة  دوراول,,,,,لياسة  دوراول,90%,Retained,مؤسسه الحزم,,طرطشة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد,,لياسة خارجية للواجهات,,,
Z8,V7,58,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة بداية,,لياسة  دورارضي,95%,Retained,مؤسسة بداية,,طرطشة  دوراول,100%,Closed,مؤسسه الحزم,,لياسة  دوراول,90%,Retained,مؤسسه الحزم,,طرطشة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,لياسة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد,,لياسة خارجية للواجهات,,,
Z8,V7,59,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة بداية,,لياسة  دورارضي,95%,Retained,مؤسسة بداية,,طرطشة  دوراول,100%,Closed,مؤسسه الحزم,,لياسة  دوراول,90%,Retained,مؤسسه الحزم,,طرطشة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,لياسة  دورالملحق,60%,Open,مؤسسه الاستيراد,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد,,لياسة خارجية للواجهات,,,
Z8,V7,60,,طرطشة  دور أ رضي ,,,,,لياسة  دورارضي,,,,,طرطشة  دوراول,100%,Closed,مؤسسه  الحزم,,لياسة  دوراول,90%,Retained,مؤسسه  الحزم,,طرطشة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,لياسة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد,,لياسة خارجية للواجهات,80%,Open,مؤسسه الاستيراد
Z8,V7,61,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة عبدالطيف,,لياسة  دورارضي,90%,Retained,مؤسسة عبدالطيف,,طرطشة  دوراول,100%,Closed,مؤسسة عبدالطيف,,لياسة  دوراول,90%,Retained,مؤسسة عبدالطيف,,طرطشة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,لياسة  دورالملحق,60%,Open,مؤسسه الاستيراد,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد,,لياسة خارجية للواجهات,60%,Open,مؤسسه الاستيراد
Z8,V7,62,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة عبدالطيف,,لياسة  دورارضي,90%,Retained,مؤسسة عبدالطيف,,طرطشة  دوراول,100%,Closed,مؤسسة عبدالطيف,,لياسة  دوراول,90%,Retained,مؤسسة عبدالطيف,,طرطشة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,لياسة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد,,لياسة خارجية للواجهات,60%,Open,مؤسسه الاستيراد
Z8,V7,63,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة عبدالطيف,,لياسة  دورارضي,90%,Retained,مؤسسة عبدالطيف,,طرطشة  دوراول,100%,Closed,مؤسسة عبدالطيف,,لياسة  دوراول,90%,Retained,مؤسسة عبدالطيف,,طرطشة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,لياسة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد,,لياسة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد
Z8,V7,64,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة عبدالطيف,,لياسة  دورارضي,90%,Retained,مؤسسة عبدالطيف,,طرطشة  دوراول,100%,Closed,مؤسسة عبدالطيف,,لياسة  دوراول,90%,Retained,مؤسسة عبدالطيف,,طرطشة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,لياسة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد,,لياسة خارجية للواجهات,60%,Open,مؤسسه الاستيراد
Z8,V7,65,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة عبدالطيف,,لياسة  دورارضي,100%,Closed,مؤسسة عبدالطيف,,طرطشة  دوراول,100%,Closed,مؤسسة عبدالطيف,,لياسة  دوراول,90%,Retained,مؤسسة عبدالطيف,,طرطشة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,لياسة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد,,لياسة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد
Z8,V7,66,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة عبدالطيف,,لياسة  دورارضي,100%,Closed,مؤسسة عبدالطيف,,طرطشة  دوراول,100%,Closed,مؤسسة عبدالطيف,,لياسة  دوراول,90%,Retained,مؤسسة عبدالطيف,,طرطشة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,لياسة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد,,لياسة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد
Z8,V7,67,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة عبدالطيف,,لياسة  دورارضي,100%,Closed,مؤسسة عبدالطيف,,طرطشة  دوراول,100%,Closed,مؤسسة عبدالطيف,,لياسة  دوراول,90%,Retained,مؤسسة عبدالطيف,,طرطشة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,لياسة  دورالملحق,100%,Closed,مؤسسه الاستيراد,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد,,لياسة خارجية للواجهات,100%,Closed,مؤسسه الاستيراد
Z9,V4a,68,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة عبدالطيف,,لياسة  دورارضي,100%,Closed,مؤسسة عبدالطيف,,طرطشة  دوراول,100%,Closed,مؤسسة عبدالطيف,,لياسة  دوراول,50%,Open,مؤسسة عبدالطيف,,طرطشة  دورالملحق,,,,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,100%,Closed,مؤسسة عبدالطيف,,لياسة خارجية للواجهات,60%,Open,مؤسسة عبدالطيف
Z9,V4a,69,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة عبدالطيف,,لياسة  دورارضي,100%,Closed,مؤسسة عبدالطيف,,طرطشة  دوراول,100%,Closed,مؤسسة عبدالطيف,,لياسة  دوراول,100%,Closed,مؤسسة عبدالطيف,,طرطشة  دورالملحق,,,,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,100%,Closed,مؤسسة عبدالطيف,,لياسة خارجية للواجهات,,,
Z9,V4a,70,,طرطشة  دور أ رضي ,,,,,لياسة  دورارضي,,,,,طرطشة  دوراول,100%,Closed,مؤسسة عبدالطيف,,لياسة  دوراول,60%,Open,مؤسسة عبدالطيف,,طرطشة  دورالملحق,,,,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,100%,Closed,مؤسسة عبدالطيف,,لياسة خارجية للواجهات,,,
Z9,V4b,71,,طرطشة  دور أ رضي ,100%,Closed,مؤسسه اماسي,,لياسة  دورارضي,90%,Retained,مؤسسه اماسي,,طرطشة  دوراول,100%,Closed,مؤسسه اماسي,,لياسة  دوراول,90%,Retained,مؤسسه اماسي,,طرطشة  دورالملحق,100%,Closed,مؤسسه اماسي,,لياسة  دورالملحق,100%,Closed,مؤسسه اماسي,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه اماسي,,لياسة خارجية للواجهات,100%,Closed,مؤسسه اماسي
Z9,V7,72,,طرطشة  دور أ رضي ,100%,Closed,مؤسسه عبدالطيف,,لياسة  دورارضي,80%,Open,مؤسسه عبدالطيف,,طرطشة  دوراول,100%,Closed,مؤسسة عبدالطيف,,لياسة  دوراول,100%,Closed,مؤسسة عبدالطيف,,طرطشة  دورالملحق,,,,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,100%,Closed,مؤسسة حلول وروافد,,لياسة خارجية للواجهات,60%,Open,مؤسسة حلول وروافد
Z9,V7,73,,طرطشة  دور أ رضي ,100%,Closed,مؤسسه عبدالطيف,,لياسة  دورارضي,80%,Open,مؤسسه عبدالطيف,,طرطشة  دوراول,100%,Closed,مؤسسة عبدالطيف,,لياسة  دوراول,100%,Closed,مؤسسة عبدالطيف,,طرطشة  دورالملحق,100%,Closed,مؤسسه اماسي,,لياسة  دورالملحق,100%,Closed,مؤسسه اماسي,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه اماسي,,لياسة خارجية للواجهات,60%,Open,مؤسسه اماسي
Z10,V7,74,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة عبدالطيف,,لياسة  دورارضي,60%,Open,مؤسسة عبدالطيف,,طرطشة  دوراول,100%,Closed,مؤسسة عبدالطيف,,لياسة  دوراول,100%,Closed,مؤسسة عبدالطيف,,طرطشة  دورالملحق,100%,Closed,مؤسسه اماسي,,لياسة  دورالملحق,100%,Closed,مؤسسه اماسي,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه اماسي,,لياسة خارجية للواجهات,100%,Closed,مؤسسه اماسي
Z10,V7,75,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة عبدالطيف,,لياسة  دورارضي,60%,Open,مؤسسة عبدالطيف,,طرطشة  دوراول,100%,Closed,مؤسسة عبدالطيف,,لياسة  دوراول,100%,Closed,مؤسسة عبدالطيف,,طرطشة  دورالملحق,100%,Closed,الصدقه / ياسرخلف محمدعارف,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,,,,,لياسة خارجية للواجهات,,,
Z10,V7,76,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة عبدالطيف,,لياسة  دورارضي,60%,Open,مؤسسة عبدالطيف,,طرطشة  دوراول,100%,Closed,مؤسسة عبدالطيف,,لياسة  دوراول,100%,Closed,مؤسسة عبدالطيف,,طرطشة  دورالملحق,100%,Closed,مؤسسه عبدالرحمن,,لياسة  دورالملحق,100%,Closed,مؤسسه عبدالرحمن,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه عبدالرحمن,,لياسة خارجية للواجهات,100%,Closed,مؤسسه عبدالرحمن
Z10,V7,77,,طرطشة  دور أ رضي ,100%,Closed,الصدقه / شوقي عنتر,,لياسة  دورارضي,90%,Retained,الصدقه / شوقي عنتر,,طرطشة  دوراول,100%,Closed,الصدقه / شوقي عنتر,,لياسة  دوراول,,,,,طرطشة  دورالملحق,100%,Closed,مؤسسه ماجد فوزان,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه ماجد فوزان,,لياسة خارجية للواجهات,,,
Z10,V7,78,,طرطشة  دور أ رضي ,100%,Closed,الصدقه / شوقي عنتر,,لياسة  دورارضي,90%,Retained,الصدقه / شوقي عنتر,,طرطشة  دوراول,100%,Closed,الصدقه / شوقي عنتر,,لياسة  دوراول,90%,Retained,الصدقه / شوقي عنتر,,طرطشة  دورالملحق,100%,Closed,مؤسسه ماجد فوزان,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه ماجد فوزان,,لياسة خارجية للواجهات,,,
Z10,V7,79,,طرطشة  دور أ رضي ,100%,Closed,الصدقه / شوقي عنتر,,لياسة  دورارضي,90%,Retained,الصدقه / شوقي عنتر,,طرطشة  دوراول,100%,Closed,الصدقه / شوقي عنتر,,لياسة  دوراول,90%,Retained,الصدقه / شوقي عنتر,,طرطشة  دورالملحق,,,,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,,,,,لياسة خارجية للواجهات,,,
Z10,V7,80,,طرطشة  دور أ رضي ,100%,Closed,الصدقه / شوقي عنتر,,لياسة  دورارضي,90%,Retained,الصدقه / شوقي عنتر,,طرطشة  دوراول,100%,Closed,الصدقه / شوقي عنتر,,لياسة  دوراول,90%,Retained,الصدقه / شوقي عنتر,,طرطشة  دورالملحق,,,,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,,,,,لياسة خارجية للواجهات,,,
Z10,V4a,81,,طرطشة  دور أ رضي ,100%,Closed,مؤسسه عبدالطيف,,لياسة  دورارضي,100%,Closed,مؤسسه عبدالطيف,,طرطشة  دوراول,,,,,لياسة  دوراول,,,,,طرطشة  دورالملحق,,,,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,,,,,لياسة خارجية للواجهات,,,
Z10,V4a,82,,طرطشة  دور أ رضي ,100%,Closed,مؤسسه عبدالطيف,,لياسة  دورارضي,100%,Closed,مؤسسه عبدالطيف,,طرطشة  دوراول,100%,Closed,مؤسسه عبدالطيف,,لياسة  دوراول,100%,Closed,مؤسسه عبدالطيف,,طرطشة  دورالملحق,,,,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,100%,Closed,مؤسسة عبدالطيف,,لياسة خارجية للواجهات,,,
Z10,V4a,83,,طرطشة  دور أ رضي ,100%,Closed,مؤسسه عبدالطيف,,لياسة  دورارضي,100%,Closed,مؤسسه عبدالطيف,,طرطشة  دوراول,100%,Closed,مؤسسه عبدالطيف,,لياسة  دوراول,100%,Closed,مؤسسه عبدالطيف,,طرطشة  دورالملحق,,,,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,100%,Closed,مؤسسة عبدالطيف,,لياسة خارجية للواجهات,,,
Z11,V4a,84,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة خلود,,لياسة  دورارضي,,,,,طرطشة  دوراول,100%,Closed,مؤسسة عبدالطيف,,لياسة  دوراول,100%,Closed,مؤسسة عبدالطيف,,طرطشة  دورالملحق,100%,Closed,مؤسسة عبدالطيف,,لياسة  دورالملحق,100%,Closed,مؤسسة عبدالطيف,,طرطشة خارجية للواجهات,74%,Open,مؤسسة 810,,لياسة خارجية للواجهات,74%,Open,مؤسسة 810
Z11,V4a,85,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة عبدالطيف,,لياسة  دورارضي,100%,Closed,مؤسسة عبدالطيف,,طرطشة  دوراول,100%,Closed,مؤسسة عبدالطيف,,لياسة  دوراول,100%,Closed,مؤسسة عبدالطيف,,طرطشة  دورالملحق,100%,Closed,مؤسسه الحزم,,لياسة  دورالملحق,100%,Closed,مؤسسه الحزم,,طرطشة خارجية للواجهات,74%,Open,مؤسسة 810,,لياسة خارجية للواجهات,74%,Open,مؤسسة 810
Z11,V4a,86,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة عبدالطيف,,لياسة  دورارضي,100%,Closed,مؤسسة عبدالطيف,,طرطشة  دوراول,100%,Closed,مؤسسة عبدالطيف,,لياسة  دوراول,100%,Closed,مؤسسة عبدالطيف,,طرطشة  دورالملحق,100%,Closed,مؤسسه الحزم,,لياسة  دورالملحق,100%,Closed,مؤسسه الحزم,,طرطشة خارجية للواجهات,74%,Open,مؤسسة 810,,لياسة خارجية للواجهات,74%,Open,مؤسسة 810
Z11,V6,87,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة عبدالطيف,,لياسة  دورارضي,50%,Open,مؤسسة عبدالطيف,,طرطشة  دوراول,100%,Closed,مؤسسة عبداللطيف,,لياسة  دوراول,100%,Closed,مؤسسة عبداللطيف,,طرطشة  دورالملحق,100%,Closed,مؤسسه ايه كي ام ال,,لياسة  دورالملحق,90%,Retained,مؤسسه الحزم,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال,,لياسة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال
Z11,V6,88,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة احتراف,,لياسة  دورارضي,100%,Closed,مؤسسة احتراف,,طرطشة  دوراول,100%,Closed,مؤسسة احتراف,,لياسة  دوراول,80%,Open,مؤسسة احتراف,,طرطشة  دورالملحق,100%,Closed,مؤسسه ايه كي ام ال,,لياسة  دورالملحق,90%,Retained,مؤسسه الحزم,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال,,لياسة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال
Z11,V6,89,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة احتراف,,لياسة  دورارضي,100%,Closed,مؤسسة احتراف,,طرطشة  دوراول,100%,Closed,مؤسسة احتراف,,لياسة  دوراول,70%,Open,مؤسسة احتراف,,طرطشة  دورالملحق,,,,,لياسة  دورالملحق,100%,Closed,مؤسسه الحزم,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال,,لياسة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال
Z11,V6,90,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة احتراف,,لياسة  دورارضي,100%,Closed,مؤسسة احتراف,,طرطشة  دوراول,100%,Closed,مؤسسة احتراف,,لياسة  دوراول,100%,Closed,مؤسسة احتراف,,طرطشة  دورالملحق,,,,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال,,لياسة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال
Z11,V6,91,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة تقنين,,لياسة  دورارضي,,,,,طرطشة  دوراول,,,,,لياسة  دوراول,,,,,طرطشة  دورالملحق,100%,Closed,مؤسسه الحزم,,لياسة  دورالملحق,60%,Open,مؤسسه الحزم,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه تباشير,,لياسة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال
Z11,V6,92,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة تقنين,,لياسة  دورارضي,,,,,طرطشة  دوراول,,,,,لياسة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,طرطشة  دورالملحق,100%,Closed,مؤسسه ايه كي ام ال,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال,,لياسة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال
Z11,V6,93,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة مسار المشاعر,,لياسة  دورارضي,100%,Closed,مؤسسة مسار المشاعر,,طرطشة  دوراول,,,,,لياسة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,طرطشة  دورالملحق,100%,Closed,مؤسسه ايه كي ام ال,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال,,لياسة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال
Z11,V6,94,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة مسار المشاعر,,لياسة  دورارضي,100%,Closed,مؤسسة مسار المشاعر,,طرطشة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,لياسة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,طرطشة  دورالملحق,100%,Closed,مؤسسه ايه كي ام ال,,لياسة  دورالملحق,90%,Retained,مؤسسه الحزم,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال,,لياسة خارجية للواجهات,,,
Z11,V6,95,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة مسار المشاعر,,لياسة  دورارضي,100%,Closed,مؤسسة مسار المشاعر,,طرطشة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,لياسة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,طرطشة  دورالملحق,100%,Closed,مؤسسه ايه كي ام ال,,لياسة  دورالملحق,90%,Retained,مؤسسه الحزم,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال,,لياسة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال
Z11,V6,96,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة تقنين,,لياسة  دورارضي,,,,,طرطشة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,لياسة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,طرطشة  دورالملحق,100%,Closed,مؤسسه ايه كي ام ال,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,100%,Closed,مؤسسه ايه كي ام ال,,لياسة خارجية للواجهات,60%,Open,مؤسسه ايه كي ام ال
Z11,V6,97,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة تقنين,,لياسة  دورارضي,70%,Open,مؤسسة تقنين,,طرطشة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,لياسة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,طرطشة  دورالملحق,,,,,لياسة  دورالملحق,100%,Closed,مؤسسه ماجد فوزان,,طرطشة خارجية للواجهات,,,,,لياسة خارجية للواجهات,75%,Open,مؤسسه ماجد فوزان
Z11,V6,98,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة تقنين,,لياسة  دورارضي,70%,Open,مؤسسة تقنين,,طرطشة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,لياسة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,طرطشة  دورالملحق,,,,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,,,,,لياسة خارجية للواجهات,,,
Z11,V6,99,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة تقنين,,لياسة  دورارضي,70%,Open,مؤسسة تقنين,,طرطشة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,لياسة  دوراول,100%,Closed,مؤسسه ايه كي ام ال,,طرطشة  دورالملحق,,,,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,100%,Closed,الصدقه / محمد السيد حسن رضا,,لياسة خارجية للواجهات,,,
Z11,V4a,100,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة تقنين,,لياسة  دورارضي,70%,Open,مؤسسة تقنين,,طرطشة  دوراول,100%,Closed,مؤسسه حسن رضا,,لياسة  دوراول,90%,Retained,مؤسسه حسن رضا / الصدقه محمد السيد,,طرطشة  دورالملحق,100%,Closed,الصدقه / السيد محمد حامد,,لياسة  دورالملحق,100%,Closed,الصدقه / السيد محمد حامد,,طرطشة خارجية للواجهات,100%,Closed,الصدقه / السيد محمد حامد,,لياسة خارجية للواجهات,100%,Closed,الصدقه  السيد محمد حامد
Z11,V4a,101,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة تقنين,,لياسة  دورارضي,,,,,طرطشة  دوراول,100%,Closed,مؤسسه حسن رضا,,لياسة  دوراول,90%,Retained,مؤسسه حسن رضا / الصدقه محمد السيد,,طرطشة  دورالملحق,100%,Closed,الصدقه / السيد محمد حامد,,لياسة  دورالملحق,100%,Closed,الصدقه / السيد محمد حامد,,طرطشة خارجية للواجهات,100%,Closed,الصدقه / السيد محمد حامد,,لياسة خارجية للواجهات,100%,Closed,الصدقه  السيد محمد حامد
Z11,V4a,102,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة تقنين,,لياسة  دورارضي,,,,,طرطشة  دوراول,100%,Closed,مؤسسه حسن رضا,,لياسة  دوراول,90%,Retained,مؤسسه حسن رضا / الصدقه محمد السيد,,طرطشة  دورالملحق,100%,Closed,الصدقه / السيد محمد حامد,,لياسة  دورالملحق,100%,Closed,الصدقه / السيد محمد حامد,,طرطشة خارجية للواجهات,,,,,لياسة خارجية للواجهات,100%,Closed,الصدقه  السيد محمد حامد
Z15,V1a,156,,طرطشة  دور أ رضي ,100%,Closed,مؤسسة 810,,لياسة  دورارضي,90%,Retained,مؤسسة 810,,طرطشة  دوراول,100%,Closed,مؤسسة الاوائل,,لياسة  دوراول,100%,Closed,مؤسسة الاوائل,,طرطشة  دورالملحق,100%,Closed,مؤسسة الاوائل,,لياسة  دورالملحق,,,,,طرطشة خارجية للواجهات,,,,,لياسة خارجية للواجهات,,,
